label,tweet,rekomendasi_makanan
sadness,"Wah kalo gt anda udh menormalisasi bentuk pelecehan terhadap diri anda sendiri dong ya, bisa micu bentuk pelecehan yg lebih besar tu mba. Anda secara ga sadar udh mendukung para pelaku pelecehan di luar sana. Selamat ya"""";","Es susu cokelat, Teh hangat, Kacang rebus"
sadness,"Gini toh rasanya jadi wali kelas, untungnya rumah deket ke sekolah pas dicariin wali murid pada dateng ke rumah Kasihannya yg wali kelas udah rumah jauh jarang ke sekolah akhirnya di grup kena imbas"""";","Cokelat batangan, Nugget tahu, Roti isi pisang"
love,"Dengan bumbu kasih sayang Aku masak menu favorit mu """"""""Semur Lidah Sapi Badranaya"""""""" Siap untuk dihidangkan Untukmu duhai pujaan hati """";","Pizza mini, Ayam panggang madu, Boba milk tea"
anger,"[USERNAME] tolong dijelaskan maksud dari """""""" Hal ini dibuktikan dengan penggunaan resi pada transaksi Anda yang telah digunakan pada transaksi lain (transaksi Anda dengan supplier Anda). """""""" saya rasa tidak mungkin ada double resi..."""";","Sosis bakar, Nasi padang, Teh herbal"
love,"Senandung rindu tercurahkan bagimu Ya sayyidi Ya Rasullullah. Segenggam cinta terungkapkan Bagimu Ya sayyidi Ya Rasullullah. Segala rasa yang ada ini tidak lain adalah rasa bersyukurku atas keagungan & kemuliaanmu Ya sayyidi Ya Rasullullah, sehingga menjadikanku sebagai umatmu"""";","Waffle berry, Teh vanila, Cake stroberi"
love,"Dalam cinta, ketika ada yang berbeda, jangan mencari siapa yang salah, karena kamu dan dia adalah tim yang sama dengan tujuan yang sama. #FRN"""";","Es soda gembira, Banana muffin, Es kopi susu"
fear,"saya dok, enggan menikah karena lebih mengutamakan karir dan pendidikan, terlalu takut dengan namanya rumah tangga takut broken lagi"""";","Kue putu, Sup daging, Roti tawar"
anger,"Itu teman yang sok ngga liatin temennya ketika bertemu, hati2 saja suatu hari nanti yakin deh kalo loe nengok kembali ngga bakalan ada yg liatin. Haha. Lucu melihat hal itu. Miris dan kasian"""";","Makaroni pedas, Jus jambu, Kwetiau goreng"
love,"Sama aja ketika kita sayang samaa org, kita bakal ensenang jalaninnya ketika sama org yang kita sayang. Bocil 2 tahun ternyata sama si kibo juga mau 2 taun ya."""";","Kue nastar, Cheesecake, Lemon tart"
fear,"Lisa, semoga aja kamu ga denger berita ini ya, kalopun mendengar udah cukup kamu tau aja dan jangan sampai kamu ketemu yanglek, bahkan ngeliat sedikit pun jangan. Itu bakalan serem banget."""";","Roti bakar selai kacang, Bolu pandan, Cilok"
sadness,"Kemarin lihat puisinya Adimas Imanuel yang judulnya Love Is Never Far From You, makdrandang ingat beberapa bulan sebelum #tumblr diblok, pernah bikin tulisan judulnya Cinta Itu Tak Pernah Terlalu Jauh. [URL]"""";","Nasi sop, Telur dadar, Sup jamur"
happy,"Di Minahasa, Tugu ajaran 5 agama di Bukit Kasih Kanonang menjadi simbol indahnya perbedaan keyakinan, namun ttp rukun &amp"""";","Cinnamon roll, Sate sapi, Kari Jepang"
anger,"Aduh pemotor jgn suka ngerumpi di atas fly over daan mogot dong, macet tauk [USERNAME] [USERNAME] [USERNAME] [USERNAME]"""";","Pizza, Mi goreng pedas, Keripik singkong"
sadness,"Dikarenakan ada beberapa yang ngaret datenganya dan takutnya waktu buat nongkrong jadi """"""""kurang"""""""". Ngarti sih niat nya pengen ngobrol lama setelah sekian lama gak ketemu. Ya cuma kasihan sama panitia nya dong"""";","Omelet sayur, Kue apem, Kue bugis"
fear,"Kepastian libur krn ikut tanggalan Bank Indonesia. Jd kalo BI libur, yaa ikut libur. Kalo dipaksain masuk nanti bingung sendiri kerjanya gimana"""";","Bubur kacang hijau, Puding mangga, Puding caramel"
happy,"Tanpa keberpihakan politik tertentu, saya salut dengan beliau dan semoga jejaknya diikuti oleh yang senada kegiatannya dengan beliau. Dunia politik biar dijalankan oleh politisi. Harus ada yang """"""""jaga gawang"""""""" masing-masing."""";","Kue tart, Es krim vanila, Kebab daging"
happy,"Kamu punya baju atau outfit favorit? Yang paling sering di pakai, padahal masih banyak baju yang lain. Sampe kalo kotor dikit langsung cuci , keringin, pake lagi"""";","Cheesecake, Milkshake karamel, Salad ayam"
love,"Karena bagiku, mencintai bukan hanya dengan memberikan ungkapan cinta, tapi bagaimana cara kita saling membuat tersenyum, nyaman dan bahagia. Dengan menerima perbedaan sifat yang kita miliki."""";","Kue bolu keju, Teh jasmine, Kue lapis legit"
sadness,"Mencoba bikin pudding Percobaan 1, salah bikin ternyata yg kubikin jadinya jelly nutrijell Percobaan 2, kubikin berlapis sama jelly ternyata rasanya plain Percobaan 3, bikin berlapis lagi ternyata nyampur karna belum keras. Apa salah dan dosaku sayang :("""";","Roti gandum, Kue lumpur, Kue soes"
anger,"[USERNAME] Pelanggan Setia, tagihan Anda bulan MAY Rp 17.751. Lakukan pembayaran sblm jatuh tempo tgl 18-06-2018. Abaikan jika sdh bayar. CS Twitter: [USERNAME] Ini tagihan apa??? [SENSITIVE-NO]"""";","Tahu bulat, Bihun goreng, Sambal goreng kentang"
happy,"All We Know of Heaven, All We Need of Hell - PVRIS (2017) Gue ngikutin PVRIS dari awal, gue rasa album yg skrg lagu2nya lebih mature, sangar, dark, tp fragile. Konsep keseluruhan album + mv + dll nya keren parah. W suka lagu Mercy, Anyone Else, sama Winter [URL]"""";","Nasi kuning, Burger, Croissant"
sadness,"Sayaa sadar saya ini siapa, km siapa Dan takkan mungkin mjd kita Kangen, iya Jarang ketemu, iya Kadang curigaan, iya Krn aku  km Mimpi yg wkt itu mungkin biar kangen ku akan km terobati Nyatanya malah menjadi Arhhhh... Allah Maha Tau"""";","Bolu karamel, Mie ayam, Cokelat batangan"
happy,"Dg menggunakn sistem demokrasi bgtulah jlnnya, tp yakin Pemerintah sll berupaya mjd lbh baik dn lbh baikk teruss utk ksejahteraan bersama [URL]"""";","Kue red velvet, French toast, Ice blend"
love,"Intinya sih.. Kamu jadi siapapun, aku tetep sayang kamu. Kita udh 6 tahun bersama (?) meskipun harus ngitung dari awal lagi smpe akhirnya skrg udh 3 bulanan wkwk."""";","Dimsum goreng, Cappuccino, Lasagna"
sadness,"bukan maksud membela diri,semua punya kesalahan. mungkin soal kerjaan,pertemanan dll. tp disaat pembelaan yg saya lakuin itu nyata adanya kenapa...... sudahlah!"""";","Roti isi pisang, Kue apem, Nasi tim"
fear,"Sejak saat itu, kamar ku nggak ku kasih kursi (biar si doi ngga duduk dikursi belajarku). Kalo tidur lampu harus nyala, karena ya gitu takut kalo tiba2 si doi muncul pas remang2 gitu."""";","Cilok, Pancake, Milkshake vanila"
sadness,"Saya selalu kurang sepakat sama cara orang-orang mereduksi kapitalisme sebatas penciptaan lagu cinta. Kapitalisme di dunia musik bukan cuma itu, tapi masih banyak yang jauh lebih luas seperti eksploitasi, ketidaksetaraan gender, kesenjangan produksi dll."""";","Soto bening, Susu hangat, Kacang tanah rebus"
anger,"Mau tau rayuan cowo kadal? Wkwkw Kamu cantik, kok ngga blm ada pacar sih Kamu suka lagu apa nanti di nyanyiin/nanti lagunya aku mainin di spty Kamu tuh manis deh bibirnya,aku suka bibir kamu bgitu lah. Udah basii abis tau"""";","Kentang goreng, Tahu isi, Bubur sumsum"
sadness,"Di cerita itu dikisahkan kalau istrinya gabisa ada keturunan, suaminya mau mempertahankan rumah tangganya, tapi si ibu laki2 maunya si anaknya itu menikah lagi supaya bisa ada keturunan. Dan si istri sudah lapang dada untuk pisah,namun si laki2 kekeh untuk mempertahankan istrinya"""";","Puding kopi, Bubur ayam, Nasi putih & sayur"
fear,"Demi. Gue ngerasa ga nyaman di kamar gue sendiri, di depan pintu kaya ada yang bolak balik gitu :( mau nelp nyokap takut dikatain banci :"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" help help"""";","Roti tawar, Omelet, Pisang kukus"
happy,"Menyantuni anak yatim adalah sebuah kewajiban..Mereka juga berhak bahagia seperti kita.layak untuk bahagia..Pramuka peduli untuk mereka,pramuka untuk indonesia"""";","Ayam popcorn, Tteokbokki, Salad buah"
love,"Di malam itu Kau dan aku Kita berbaring di atas rumput merenung langit yang sama Menikmati dalam keadaan tenang ditemani bunyian alam Indah Aneh, begitu saja tanpa percakapn kita sedar kita tenggelam dalam cinta Menikmati"""";","Crepes manis, Pudding cokelat susu, Kue brownies kukus"
anger,"Sabar yah sayang, ada waktunya orang orang itu dapat balasan. Ill make sure theyll get it. Dont hide ur smile, dont give me fake smile, everything gonna be okay [USERNAME] [URL]"""";","Es teh manis, Siomay, Ayam teriyaki"
love,"Terimakasih. Pernah telah membuat warna dalam kertas putih, pernah merangkai bunga dalam vas kosong, pernah bernyanyi merdu diruang sunyi dan pernah menjadi kita dalam dalam satu ikatan."""";","Kari ayam manis, Teh mawar, Onigiri"
love,"[USERNAME] pinter ganteng berwibawa sama jago kendaliin suasana membuat pusing 8 keliling ... adoeh cpt2 ketemu lah , beta sudah ingin bertemu"""";","Lasagna, Kari ayam manis, Pizza mini"
fear,"[USERNAME] aku udh takut bgt nih soalnya rata2 yg pengen fk di sekolah aku aja rata2 anak paralel :"""""""") tp gatau jg ya kalo univ yg dipengen beda"""";","Sup tahu, Es kacang merah, Kue bolu"
love,"Meneriakkan namamu di deras hujan, memandangmu dari kejauhan, dan berdoa di hening malam. Cinta dalam diam ini lah yang mampu kupertahankan."""";","Bubur ketan hitam, Donat isi selai, Waffle berry"
love,"TETAP SEMANGAT SAYANG-SAYANGKUH :) meskipun ku lebih banyak gegoleran di rumah ngetawain/nangisin kalian, ku kan slalu mendukungmu daam menyayangimu"""";","Pasta carbonara, Kue bolu keju, Kue lapis legit"
love,"Jangan tanya sedang apa aku hari ini, karena yang kulakukan selalu sama. Sedang mencintaimu. Setiap hari"""";","Teh mawar, Teh vanila, Cokelat truffle"
anger,"Untuk cegah radikalisme? Mohon deskripsikan dulu batasan radikalisme. Kalau batasannya berupa kriminalisasi ajaran Islam, itu namanya radikalisme Sekuler. [URL]"""";","Es doger, Pisang bakar, Cireng"
happy,"[USERNAME] Tambahin ya? -cantik kaya lihat malaikat -gapunya kelemahan, sempurna bgt hidupnya -baik hati dan tidak sombong -rajin menabung -paling bahagia"""";","Waffle, Kue donat mini, Martabak manis"
anger,"Mereka sangat kuatir dengan dukungan penuh NU kepada Presiden [USERNAME] makanya yang mereka coba utak-atik dan delegitimasi adalah istilah Islam Nusantara yang diperkenalkan dan dikembangkan NU sejak Muktamar 2015. Jadi persoalannya bukan agama, tapi politik"""";","Bakwan jagung, Kari ayam, Pempek"
love,"HAPPY MENSIVE KALIANNN! LANGGENG TERUS YAA, JANGAN SUKA BERANTEM , KLOP TERUS WKWK , MAKIN SALING CINTA , MAKIN SALING SAYANG I LOVE YOU"""";","Roti isi cokelat, Kue brownies kukus, Smoothie peach"
love,"Dari kejauhan, aku selalu melihatmu. Bahagialah, sayang. Aku mencintaimu. Selalu."""";","Lemon tart, Dimsum goreng, Cappuccino"
anger,"Seberapa penting akun medsos KPPN buat kanpus atau satker? Kalau udah ada grup tele atau WA, apa masih relevan? Sy rasa enggak sih ya. Mending satker tanya lgsung ke grup"""";","Ayam geprek, Sate ayam, Kebab"
love,"sekarang baru ku mengerti teka teki mu kalimat indah tak pernah ku sadari, tulismu ku tak menyangka jatuh cinta semudah ini... kepada sahabat baru ku..~~"""";","French fries, Boba milk tea, Milkshake red velvet"
fear,"gue yg dulu bingung knp org bisa trauma berkepanjangan skrg baru sadar setelah ngerasain sendiri, kita ga speak up kdg krn takut dibilang lebay lah boong lah bla bla. ngatasin traumanya aja udh susah tmbh lg di judge org lain jd mending diem."""";","Opor ayam, Bolu pandan, Mie rebus"
love,"11. awal pertemuan sama si mantan itu pas wgl. pertamanya gamau lanjut, aku udah bikin tweetnya bilang makasi dll tapi kayaknya dia ga ngerti. Jadinya dia nempel terus ke aku, yaudah deh akunya juga jadi demen trus jadian"""";","Brownies almond, Macaron, Cheesecake"
fear,"OH ULARRR... saya paling TAKUT dengan ULAR... Ya Allah, janganlah hantar tetamu ini dalam hidup ku... Sesungguhnya aku mampu sabar dengan MANUSIA KAKI BELIT tapi tak mampu sabar dengan belitan ULAR yg menggelikan"""";","Kerupuk putih, Kue lapis, Kacang rebus"
fear,"Tgl 30 Juni kemaren udah degdegan aja pengumuman dospem, ampe skrgpun masih ngawang"""";","Roti sobek, Susu hangat, Teh manis hangat"
anger,"[USERNAME] [USERNAME] Picik banget meng-KAIT kan persoalan gempa dgn """"""""politik"""""""" atau sejenisnya ! Anda kalau ingin membantu silahkan via dompet bantuan. Gak perlu nyinyir di medsos !"""";","Rujak buah, Kacang goreng, Martabak telur"
fear,"Di masa depan, Scot langsung nyari rumahnya dong. Sambil ngerasa ada yg aneh dgn dunia ini. Ada apa gerangan? Begitu sampe rumah dia kaget dgn sesosok perempuan cantik nan putih umur 16 tahunan. Siapa perempuan ini?"""";","Sosis solo, Kue nagasari, Muffin cokelat"
happy,"Pertama kali ketemu pas bayi umur 3 bulan dan sekarang sudah 6 taon kelas 1 SD, time so fast... namanya Raditya yang punya cita cita jadi petugas pemadam kebakaran. Pinter yo Le sekohale"""";","Jus mangga, Nugget keju, Brownies"
fear,"Eh asli ya gue udh nonton emang serem bgt sih aslinya tuh dia gamau ngebunuh org, dia cuman lagi jatuh cinta aja tapi sampe akhir dia gatau kalo ketidaktahuannya dia itu berubah jadi malapetaka. HOROR WOY"""";","Sop ikan, Mie kuah bening, Kentang tumbuk"
anger,"Karena yang komen julid begichu 1. juga pengen di DM sama si pelaku 2. Uda pernah di DM dan hayuk hayuk aja diajak enak enak  3. Otaknya kagak dipake, bayangin aja anak ente yang kena begitu Udalaah, susah nanggepin otak isinya dengkul cebong"""";","Roti bakar cokelat, Tumis kangkung, Bakso urat"
happy,"Alhamdulillah, 3 & 30 Juli is our happy day. [USERNAME] congratss my sissyy. Meskipun gadapet snm tp ada jalan lain buat meraih mimpi kita. Padahal snm kita merah dan nangis sesenggukan pelukan berdua eh ternyata balik lagi ketrima di satu2 nya pilihan snm kita."""";","Sate taichan, Es krim matcha, Spaghetti bolognese"
anger,"Man teman yang terhormat. Bisa ngga kita kumpul tanpa hp ? Buat apa kumpul bareng tapi asik sendiri, kalo gitu mending dirumah bae nahan boker"""";","Sup pedas, Burger ayam, Ayam bakar madu"
love,"Bertemu denganmu adalah takdir, menjadi temanmu adalah pilihan, namun jatuh cinta kepada mu adalah benar-benar di luar dugaanku"""";","Es krim cokelat, Mochi, Milkshake milo"
love,"Saya jatuh cinta pada Ryan Gosling sejak di The Notebook. Mungkin itu kenapa saya enggak pernah bosan nonton ulang La La Land (sampai sekarang udah lebih dari 10 kali nonton La La Land). Mata sayu, senyum lembut...Gosling banget. [URL]"""";","Jus semangka, Roti isi sosis, Banana muffin"
fear,"[idm] Army, aku baru keterima di jurusan Ilmu dan Teknologi Pangan. Adakah yang kuliah di jurusan itu? Bantu aku tenangin diri soalnya takut dengan masa-masa perkuliahan."""";","Milkshake cokelat, Kue putu, Donat gula"
fear,"Udah mah takut belok terlalu miring karena pernah jatoh konyol dan pernah hampir jatoh masuk jurang karena ban benjol, skrg lg ngebut parah tiba-tiba gabisa ngontrol gas sama rem yg bikin hampir mati atau tabrakan. Pertanda apa coba ini"""";","Es teler, Es krim vanila, Soto ayam"
love,"Sayang! Sepertinya ada yang salah nih, katanya bidadari tinggal di surga, tapi kenapa kamu bisa tinggal di hatiku sih."""";","Kue nastar, Makaroni schotel, Spaghetti"
happy,"selalu bahagia dikelilingi orang2 baik orangtua yang baik, keluarga yang baik, pasangan yang baik, teman yang baik. Ternyata ada nikmat lain yg lebih indah dibandingkan materi. yaitu dikelilingi oleh orang baik. terimakasih banyak yg maha baik"""";","Banana split, Kacang mede, Kue sus"
happy,"Untuk yg sakit, semoga disehatkan Untuk yg mencari pekerjaan, ditemukan segera Untuk yg bimbang, diberikan keyakinan Untuk yg hilang arah, diingatkan kembali ke Allah Sehat dan bahagia selalu"""";","Milkshake stroberi, Ayam crispy, Dimsum"
fear,"Aku gak tenang, perasaan buruk terus datang. #feeling","Tahu kuah, Puding roti, Roti manis isi selai"
fear,"Aku gak tenang, perasaan buruk terus datang. #perasaan","Roti bakar selai kacang, Bolu kukus, Es cincau"
fear,Aku khawatir sama semuanya sekarang. #feeling,"Puding susu, Kolak pisang, Kue kastengel"
fear,Aku khawatir sama semuanya sekarang. #curhat,"Sup jagung, Jagung rebus, Bubur sumsum"
fear,Aku khawatir sama semuanya sekarang. #mood,"Sup daging, Kue cucur, Pastel isi ayam"
fear,Takut disakiti lagi kayak dulu. #feeling,"Roti isi keju, Puding caramel, Kue nagasari"
fear,"Serius deh, cemas banget hari ini. #feeling","Bolu pandan, Tahu kuah, Kue lapis"
fear,Takut disakiti lagi kayak dulu. #perasaan,"Puding susu, Kue putu, Kue cucur"
fear,Takut disakiti lagi kayak dulu. #curhat,"Roti tawar, Sosis solo, Mie rebus"
fear,Aku takut gagal besok. #mood,"Sup tahu, Teh manis hangat, Kolak pisang"
fear,Takut disakiti lagi kayak dulu. #curhat,"Susu hangat, Tahu telur, Cilok"
fear,Jantungku deg-degan terus mikirin masa depan. #mood,"Pisang kukus, Roti manis isi selai, Muffin cokelat"
fear,"Aku benci rasa takut ini, tapi gak bisa hilang. #perasaan","Kacang rebus, Milkshake cokelat, Mie kuah bening"
fear,Aku khawatir sama semuanya sekarang. #mood,"Opor ayam, Sop ikan, Kentang tumbuk"
fear,"Kayaknya bakal ada yang buruk terjadi, takut banget. #curhat","Bolu kukus, Bubur kacang hijau, Roti sobek"
fear,"Aku gak tenang, perasaan buruk terus datang. #feeling","Donat gula, Pastel isi ayam, Es krim vanila"
fear,Jantungku deg-degan terus mikirin masa depan. #mood,"Puding roti, Sup jagung, Es kacang merah"
fear,Takut disakiti lagi kayak dulu. #mood,"Kerupuk putih, Es cincau, Kue kastengel"
fear,"Aku benci rasa takut ini, tapi gak bisa hilang. #curhat","Roti bakar selai kacang, Bubur sumsum, Pancake"
fear,Takut disakiti lagi kayak dulu. #mood,"Jagung rebus, Kue bolu, Soto ayam"
fear,Aku khawatir sama semuanya sekarang. #curhat,"Es teler, Sup daging, Omelet"
fear,"Serius deh, cemas banget hari ini. #perasaan","Es krim vanila, Roti bakar selai kacang, Kolak pisang"
fear,"Setiap malam, rasa takut itu datang lagi. #perasaan","Tahu kuah, Bubur sumsum, Omelet"
fear,"Serius deh, cemas banget hari ini. #mood","Roti isi keju, Bubur kacang hijau, Pastel isi ayam"
fear,"Setiap malam, rasa takut itu datang lagi. #perasaan","Kue putu, Mie kuah bening, Roti manis isi selai"
fear,Aku khawatir sama semuanya sekarang. #perasaan,"Bolu kukus, Cilok, Roti sobek"
fear,"Kayaknya bakal ada yang buruk terjadi, takut banget. #feeling","Soto ayam, Es kacang merah, Mie rebus"
fear,Aku khawatir sama semuanya sekarang. #curhat,"Es teler, Puding roti, Kue nagasari"
fear,"Serius deh, cemas banget hari ini. #mood","Kue lapis, Kerupuk putih, Milkshake cokelat"
fear,Jantungku deg-degan terus mikirin masa depan. #curhat,"Puding mangga, Sop ikan, Bolu pandan"
fear,Aku takut gagal besok. #mood,"Teh manis hangat, Muffin cokelat, Kacang rebus"
fear,Aku khawatir sama semuanya sekarang. #perasaan,"Sup jagung, Opor ayam, Kue bolu"
fear,"Setiap malam, rasa takut itu datang lagi. #feeling","Kue cucur, Es cincau, Milkshake vanila"
fear,"Aku benci rasa takut ini, tapi gak bisa hilang. #feeling","Sup daging, Jagung rebus, Roti tawar"
fear,Aku takut gagal besok. #curhat,"Pisang kukus, Kue kastengel, Puding susu"
fear,Takut disakiti lagi kayak dulu. #curhat,"Pancake, Susu hangat, Puding caramel"
fear,Jantungku deg-degan terus mikirin masa depan. #perasaan,"Sup tahu, Tahu telur, Kentang tumbuk"
fear,Ngeri banget lihat berita akhir-akhir ini. #feeling,"Pancake, Teh manis hangat, Pisang kukus"
fear,"Setiap malam, rasa takut itu datang lagi. #curhat","Kue kastengel, Es teler, Sop ikan"
fear,Ngeri banget lihat berita akhir-akhir ini. #perasaan,"Bubur kacang hijau, Kue lapis, Donat gula"
fear,Aku takut gagal besok. #mood,"Puding susu, Jagung rebus, Kacang rebus"
fear,Takut disakiti lagi kayak dulu. #curhat,"Puding roti, Mie kuah bening, Bubur sumsum"
fear,Takut disakiti lagi kayak dulu. #mood,"Sup tahu, Tahu telur, Kue putu"
fear,"Serius deh, cemas banget hari ini. #curhat","Sup daging, Bolu kukus, Roti manis isi selai"
fear,Aku khawatir sama semuanya sekarang. #feeling,"Susu hangat, Opor ayam, Es kacang merah"
fear,Jantungku deg-degan terus mikirin masa depan. #mood,"Roti sobek, Muffin cokelat, Roti isi keju"
fear,Ngeri banget lihat berita akhir-akhir ini. #perasaan,"Puding mangga, Kerupuk putih, Kentang tumbuk"
fear,"Kayaknya bakal ada yang buruk terjadi, takut banget. #mood","Tahu kuah, Es krim vanila, Cilok"
fear,Ngeri banget lihat berita akhir-akhir ini. #curhat,"Omelet, Roti tawar, Roti bakar selai kacang"
fear,"Aku benci rasa takut ini, tapi gak bisa hilang. #mood","Milkshake vanila, Kue bolu, Kue nagasari"
fear,"Aku benci rasa takut ini, tapi gak bisa hilang. #curhat","Es cincau, Kolak pisang, Bolu pandan"
fear,"Kayaknya bakal ada yang buruk terjadi, takut banget. #perasaan","Puding caramel, Soto ayam, Milkshake cokelat"
fear,Aku khawatir sama semuanya sekarang. #mood,"Mie rebus, Sup jagung, Pastel isi ayam"
fear,Takut disakiti lagi kayak dulu. #feeling,"Roti tawar, Es kacang merah, Kacang rebus"
fear,"Kayaknya bakal ada yang buruk terjadi, takut banget. #perasaan","Muffin cokelat, Roti bakar selai kacang, Kue bolu"
fear,"Kayaknya bakal ada yang buruk terjadi, takut banget. #mood","Pisang kukus, Milkshake cokelat, Sosis solo"
fear,Takut disakiti lagi kayak dulu. #feeling,"Es cincau, Susu hangat, Puding caramel"
fear,Aku khawatir sama semuanya sekarang. #perasaan,"Pancake, Soto ayam, Es krim vanila"
fear,Aku takut gagal besok. #feeling,"Sup tahu, Sup jagung, Kerupuk putih"
fear,"Aku gak tenang, perasaan buruk terus datang. #mood","Roti sobek, Pastel isi ayam, Bubur kacang hijau"
fear,Ngeri banget lihat berita akhir-akhir ini. #feeling,"Kue lapis, Kue putu, Milkshake vanila"
fear,"Serius deh, cemas banget hari ini. #curhat","Bolu kukus, Roti isi keju, Mie rebus"
fear,Takut disakiti lagi kayak dulu. #perasaan,"Cilok, Teh manis hangat, Tahu telur"
fear,Aku takut gagal besok. #feeling,"Roti manis isi selai, Tahu kuah, Donat gula"
fear,"Kayaknya bakal ada yang buruk terjadi, takut banget. #mood","Puding susu, Omelet, Es teler"
fear,"Serius deh, cemas banget hari ini. #feeling","Opor ayam, Bolu pandan, Kentang tumbuk"
fear,"Aku gak tenang, perasaan buruk terus datang. #feeling","Sop ikan, Kue kastengel, Puding mangga"
fear,Aku khawatir sama semuanya sekarang. #perasaan,"Kue cucur, Kolak pisang, Mie kuah bening"
fear,"Aku benci rasa takut ini, tapi gak bisa hilang. #curhat","Sup daging, Puding roti, Bubur sumsum"
fear,Aku takut gagal besok. #mood,"Teh manis hangat, Pisang kukus, Puding caramel"
fear,Jantungku deg-degan terus mikirin masa depan. #curhat,"Puding susu, Pastel isi ayam, Kue bolu"
fear,Ngeri banget lihat berita akhir-akhir ini. #feeling,"Soto ayam, Susu hangat, Es teler"
fear,Jantungku deg-degan terus mikirin masa depan. #perasaan,"Bolu kukus, Sup tahu, Sup jagung"
fear,Takut disakiti lagi kayak dulu. #perasaan,"Bubur kacang hijau, Roti manis isi selai, Sup daging"
fear,"Setiap malam, rasa takut itu datang lagi. #curhat","Bubur sumsum, Kentang tumbuk, Kue lapis"
fear,"Kayaknya bakal ada yang buruk terjadi, takut banget. #curhat","Donat gula, Kacang rebus, Milkshake vanila"
fear,"Aku gak tenang, perasaan buruk terus datang. #feeling","Tahu telur, Mie rebus, Puding roti"
fear,Aku takut gagal besok. #mood,"Muffin cokelat, Opor ayam, Omelet"
fear,Aku takut gagal besok. #feeling,"Sop ikan, Es krim vanila, Roti isi keju"
fear,Takut disakiti lagi kayak dulu. #mood,"Cilok, Bolu pandan, Kolak pisang"
fear,"Kayaknya bakal ada yang buruk terjadi, takut banget. #feeling","Kue cucur, Roti sobek, Tahu kuah"
fear,Takut disakiti lagi kayak dulu. #mood,"Puding mangga, Pancake, Es cincau"
fear,"Aku benci rasa takut ini, tapi gak bisa hilang. #curhat","Mie kuah bening, Kue nagasari, Jagung rebus"
fear,"Aku gak tenang, perasaan buruk terus datang. #curhat","Kue putu, Roti bakar selai kacang, Kerupuk putih"
fear,"Kayaknya bakal ada yang buruk terjadi, takut banget. #feeling","Es kacang merah, Milkshake cokelat, Kue kastengel"
fear,"Serius deh, cemas banget hari ini. #feeling","Tahu telur, Kacang rebus, Mie kuah bening"
fear,Takut disakiti lagi kayak dulu. #feeling,"Muffin cokelat, Tahu kuah, Milkshake cokelat"
fear,Aku khawatir sama semuanya sekarang. #feeling,"Es teler, Pancake, Roti bakar selai kacang"
fear,Takut disakiti lagi kayak dulu. #curhat,"Kolak pisang, Roti isi keju, Teh manis hangat"
fear,"Aku benci rasa takut ini, tapi gak bisa hilang. #curhat","Cilok, Sup tahu, Puding mangga"
fear,Jantungku deg-degan terus mikirin masa depan. #feeling,"Roti sobek, Roti manis isi selai, Kue lapis"
fear,Aku khawatir sama semuanya sekarang. #feeling,"Sup jagung, Sup daging, Donat gula"
fear,"Aku gak tenang, perasaan buruk terus datang. #perasaan","Puding roti, Kue cucur, Sosis solo"
fear,Jantungku deg-degan terus mikirin masa depan. #perasaan,"Sop ikan, Puding caramel, Kue bolu"
fear,"Aku benci rasa takut ini, tapi gak bisa hilang. #feeling","Kue putu, Jagung rebus, Bolu kukus"
fear,"Setiap malam, rasa takut itu datang lagi. #curhat","Susu hangat, Es kacang merah, Es cincau"
fear,"Aku benci rasa takut ini, tapi gak bisa hilang. #perasaan","Opor ayam, Milkshake vanila, Kue nagasari"
fear,"Aku gak tenang, perasaan buruk terus datang. #mood","Pisang kukus, Kerupuk putih, Puding susu"
fear,Aku khawatir sama semuanya sekarang. #feeling,"Bubur sumsum, Bolu pandan, Soto ayam"
fear,Ngeri banget lihat berita akhir-akhir ini. #perasaan,"Omelet, Roti tawar, Kue kastengel"
fear,Aku takut gagal besok. #feeling,"Pastel isi ayam, Kentang tumbuk, Es krim vanila"
fear,"Kayaknya bakal ada yang buruk terjadi, takut banget. #curhat","Bubur kacang hijau, Puding caramel, Donat gula"
fear,Aku takut gagal besok. #mood,"Opor ayam, Susu hangat, Roti sobek"
fear,Ngeri banget lihat berita akhir-akhir ini. #mood,"Kue kastengel, Jagung rebus, Roti tawar"
fear,Aku khawatir sama semuanya sekarang. #feeling,"Kacang rebus, Mie kuah bening, Puding susu"
fear,Aku takut gagal besok. #mood,"Kue putu, Milkshake vanila, Roti isi keju"
fear,Jantungku deg-degan terus mikirin masa depan. #curhat,"Bolu pandan, Kue bolu, Kolak pisang"
fear,"Setiap malam, rasa takut itu datang lagi. #mood","Teh manis hangat, Pancake, Bolu kukus"
fear,"Setiap malam, rasa takut itu datang lagi. #mood","Tahu telur, Kentang tumbuk, Es cincau"
fear,"Kayaknya bakal ada yang buruk terjadi, takut banget. #mood","Roti manis isi selai, Sop ikan, Puding mangga"
fear,Takut disakiti lagi kayak dulu. #perasaan,"Kue lapis, Bubur sumsum, Mie rebus"
fear,Ngeri banget lihat berita akhir-akhir ini. #curhat,"Pisang kukus, Kue cucur, Tahu kuah"
fear,Aku takut gagal besok. #curhat,"Milkshake cokelat, Es krim vanila, Cilok"
